Year,Rank,G,Ghome,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,attendance,BPF,PPF,HR/9,K/9,BB/9,1B,1B/9,2B/9
1963,5.45,161.9,80.95,80.9,80.9,639.0,5490.7,1352.15,204.9,39.55,135.2,479.55,938.65,61.8,38.15,,,639.0,559.2,3.46,43.25,13.75,29.45,4365.0,1352.15,135.2,479.55,938.65,145.6,143.8,0.97665,1023853.7,100.3,100.25,0.8362886597938144,5.806082474226804,2.9662886597938147,972.5000000000001,6.015463917525774,1.2674226804123712
1964,5.35,162.6,81.3,81.0,81.0,656.2,5523.2,1383.45,213.5,38.0,138.1,481.05,960.6,58.8,35.95,,,656.2,579.3,3.5840000000000005,39.85,13.45,33.4,4369.5,1383.45,138.1,481.05,960.6,141.75,146.25,0.97735,1064017.05,100.1,99.95,0.8533470648815653,5.935736354273945,2.9725025746652936,993.8500000000001,6.14119464469619,1.3192584963954685
1965,5.5,162.3,81.15,80.95,80.95,647.3,5486.95,1347.6,209.95,39.35,134.4,501.8,964.15,72.45,39.3,,,647.3,567.1,3.501,36.95,12.15,33.9,4376.25,1347.6,134.4,501.8,964.15,141.85,147.1,0.97745,1122095.0,100.3,100.25,0.829203084832905,5.948483290488432,3.0959383033419026,963.8999999999999,5.946940874035989,1.2953213367609253
1966,5.5,161.5,80.75,80.65,80.65,645.0,5473.35,1360.35,206.0,41.0,137.15,466.55,940.25,72.75,46.3,,,645.0,567.75,3.522,36.8,12.3,33.35,4355.55,1360.35,137.15,466.55,940.25,142.8,147.25,0.9772,1259110.45,100.05,100.05,0.8501911354478768,5.828597995660709,2.8921376175224713,976.1999999999998,6.051451596239279,1.27699142473396
1967,5.4,162.0,81.0,80.85,80.85,610.5,5460.25,1323.2,204.1,39.6,114.95,483.25,970.65,68.65,47.0,,,610.5,535.35,3.3055,39.1,13.7,32.35,4376.7,1323.2,114.95,483.25,970.65,136.35,142.5,0.9781,1215417.65,99.95,99.9,0.7091301665638495,5.987970388648982,2.9811844540407155,964.5500000000001,5.950339296730414,1.2590993214065391
1968,5.4,162.5,81.25,80.95,80.95,555.45,5431.1,1285.5,193.45,34.85,99.75,457.8,957.15,75.75,46.55,,,555.45,484.1,2.983,44.85,16.95,29.85,4384.05,1285.5,99.75,457.8,957.15,137.65,141.0,0.97815,1155137.25,100.35,100.2,0.6143292161357649,5.894789064905737,2.8194477708967733,957.45,5.896636671570808,1.1913983645259518
1969,3.5,162.16666666666666,81.08333333333333,80.95833333333333,80.95833333333333,660.4166666666666,5470.291666666667,1357.5416666666667,201.66666666666663,35.375,129.95833333333334,559.5416666666666,936.375,77.08333333333333,46.583333333333336,,,660.4166666666666,582.7916666666666,3.610833333333333,40.91666666666666,12.5,31.041666666666668,4360.125,1357.5416666666667,129.95833333333334,559.5416666666666,936.375,141.70833333333334,151.20833333333334,0.9772083333333332,1134569.4166666667,100.20833333333331,100.20833333333331,0.804764771652189,5.798486281929991,3.4649522662767693,990.5416666666669,6.133912445170724,1.248817407757805
1970,3.458333333333333,162.0,81.0,80.95833333333333,80.95833333333333,703.3333333333334,5505.833333333333,1398.125,218.125,38.625,142.875,571.9583333333334,932.25,79.5,44.91666666666666,34.375,41.25,703.3333333333334,626.125,3.8820833333333336,35.5,9.75,36.583333333333336,4357.333333333333,1398.125,142.875,571.9583333333334,932.25,138.625,153.95833333333334,0.9778333333333332,1197805.5416666667,100.20833333333331,100.04166666666669,0.8853178549571604,5.776640911872706,3.544111459608324,998.5,6.187155752753978,1.3516007496940026
1971,3.4166666666666665,161.5,80.75,80.70833333333333,80.70833333333333,628.0416666666666,5439.333333333333,1356.125,205.45833333333331,33.666666666666664,119.29166666666669,522.3333333333334,873.1666666666666,73.54166666666667,43.29166666666666,34.208333333333336,41.125,628.0416666666666,557.5,3.46375,45.125,13.125,28.70833333333333,4345.875,1356.125,119.29166666666669,522.3333333333334,873.1666666666666,130.20833333333334,155.70833333333334,0.9791666666666666,1216392.375,100.25,100.29166666666669,0.7411338338079214,5.424799378721201,3.245146259383899,997.7083333333333,6.198550349469324,1.2764690654931399
1972,3.5,154.91666666666666,77.45833333333333,77.41666666666667,77.41666666666667,571.0833333333334,5201.166666666667,1268.0833333333333,193.83333333333331,31.08333333333333,105.58333333333331,488.625,863.25,75.29166666666667,46.04166666666666,31.291666666666668,36.79166666666666,571.0833333333334,504.5416666666667,3.25875,42.04166666666666,14.875,30.541666666666668,4181.291666666667,1268.0833333333333,105.58333333333331,488.625,863.25,131.41666666666666,144.83333333333334,0.97825,1123677.8333333333,100.125,100.20833333333331,0.68178692788313,5.574294227262309,3.1552151946667197,937.5833333333335,6.05428944405138,1.251646720012755
