Year,Rank,G,Ghome,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,attendance,BPF,PPF,HR/9,K/9,BB/9,1B,1B/9,2B/9
1920,4.4375,154.25,77.125,76.75,76.75,672.625,5261.4375,1454.875,225.6875,79.0,39.375,426.5625,455.3125,107.5625,98.0625,,,672.625,534.4375,3.461875,87.1875,11.75,8.9375,4173.1875,1454.875,39.375,426.5,454.3125,217.9375,123.0,0.96625,570054.6875,100.25,100.5,0.2547513141932875,2.9458147998382533,2.759805903760615,1110.8125,7.186817630408411,1.4601698342094622
1921,4.5,153.625,76.8125,76.625,76.625,745.9375,5325.3125,1549.4375,248.6875,85.25,58.5625,429.4375,435.1875,93.0,82.25,,,745.9375,615.5625,4.03125,79.5625,7.9375,11.0625,4124.625,1547.0,58.5625,426.5625,435.125,212.9375,135.75,0.9665,537957.0,100.0625,100.0625,0.3833530320938267,2.848758978088917,2.8111191926538774,1156.9375,7.573370306391491,1.6279207200654604
1922,4.4375,154.75,77.375,76.9375,76.9375,753.6875,5333.1875,1538.75,246.4375,77.9375,65.9375,453.25,434.5625,89.75,71.8125,,,753.6875,623.5625,4.066875,77.5,9.1875,9.75,4142.0625,1536.125,65.9375,451.125,433.4375,200.5625,138.25,0.968125,551010.9375,100.125,100.0,0.4298130460368476,2.832692046534788,2.9545063600561314,1148.4375,7.486080304196279,1.6064007967045404
1923,4.5,154.125,77.0625,76.625,76.625,742.125,5330.25,1514.0,245.125,71.3125,61.25,474.125,438.6875,97.8125,78.9375,,,742.125,611.5625,3.98875,76.5,8.0,10.4375,4140.375,1512.125,61.25,474.6875,437.9375,207.9375,143.0,0.9670625,542025.375,100.1875,100.1875,0.39942034236029345,2.8607463092111223,3.0918395072910063,1136.3125,7.4100624943392805,1.5984965129970112
1924,4.5,153.875,76.9375,76.5,76.5,732.625,5295.3125,1516.375,254.875,73.3125,56.0,459.5,416.0625,93.9375,77.5,,,732.625,616.5625,4.05,74.875,8.5625,10.9375,4112.8125,1513.1875,56.0,459.5,414.0,190.0,145.6875,0.9695625,599755.1875,100.1875,100.0625,0.36763163893321177,2.731388192386597,3.0165488944609073,1132.1875,7.432641896512423,1.6732163209482562
1925,4.4375,153.5,76.75,76.5,76.5,787.25,5340.875,1557.0625,271.125,73.1875,73.0625,484.3125,417.5625,86.4375,68.6875,,,787.25,656.25,4.3325,75.5625,6.75,10.9375,4092.1875,1557.375,73.0625,485.5,418.0625,205.0625,151.8125,0.966875,596284.6875,100.1875,100.3125,0.48206185567010307,2.7550515463917526,3.1954639175257733,1139.6875,7.519587628865979,1.7888659793814432
1926,4.5,154.25,77.125,76.375,76.375,715.1875,5235.6875,1469.0625,258.9375,72.3125,53.9375,481.5625,425.6875,79.5,63.625,,,715.1875,596.5,3.92375,72.1875,8.375,12.125,4107.75,1469.75,53.9375,479.75,425.9375,194.625,143.5625,0.96875,614561.375,100.5,100.5,0.35452802629176555,2.7980189884973528,3.165282088734709,1083.875,7.124246850465584,1.7019810115026475
1927,4.5,154.5,77.25,76.75,76.75,734.0625,5278.8125,1497.4375,259.3125,71.875,57.625,464.4375,427.0,89.8125,63.875,,,734.0625,615.125,4.02875,74.875,8.0,12.3125,4126.3125,1499.4375,57.625,465.0625,430.9375,200.6875,145.0625,0.9676875,620179.25,99.9375,99.8125,0.37706184395874043,2.794020084518562,3.038987594856182,1108.625,7.2541464079611035,1.6967782978143318
1928,4.5,153.875,76.9375,76.6875,76.6875,727.8125,5278.3125,1483.25,263.8125,71.125,68.3125,479.75,445.5625,79.0625,59.5,,,727.8125,613.0625,4.018125,73.25,8.25,13.625,4125.375,1481.6875,68.3125,478.875,443.375,185.8125,149.625,0.9698125,568892.8125,100.1875,100.3125,0.44709571857103897,2.916143986910281,3.139896373056995,1080.0,7.068448322879738,1.7266157622034362
1929,4.5,153.625,76.8125,76.3125,76.3125,796.6875,5325.6875,1540.25,280.125,73.0,84.3125,500.9375,440.1875,82.875,61.375,,,796.6875,679.0,4.476875,73.0625,7.625,13.4375,4096.5,1540.1875,84.3125,500.625,439.875,183.5,148.3125,0.9700625,599261.4375,100.125,100.125,0.5557030391797876,2.9012724276821675,3.3016752105455875,1102.8125,7.268628707433175,1.8463017209813255
1930,4.5,154.25,77.125,77.0,77.0,855.9375,5410.9375,1599.875,297.5625,80.0625,97.8125,479.125,496.0,67.4375,52.875,,,855.9375,729.625,4.808125,68.375,5.8125,13.4375,4098.1875,1600.25,97.8125,477.8125,495.625,189.1875,156.375,0.969,633266.375,100.125,100.125,0.6444159765750103,3.267786063961202,3.156608866724619,1124.4375,7.408107242530997,1.960424577938418
1931,4.5,154.5,77.25,76.6875,76.6875,743.25,5413.1875,1502.3125,281.9375,66.875,66.8125,479.375,494.3125,67.875,56.5,,,743.25,629.4375,4.123125,74.25,8.375,12.25,4122.1875,1502.4375,66.8125,479.0625,494.25,185.5625,148.1875,0.9696875,529194.1875,100.0625,100.125,0.437616556743234,3.2377075278599046,3.1398680918808277,1086.6875,7.117716624971571,1.8466681828519445
1932,4.4375,154.125,77.0625,76.75,76.75,757.25,5449.5625,1506.75,286.25,67.0,84.875,471.625,492.875,61.8125,50.625,,,757.25,641.8125,4.181875,70.3125,7.5625,12.0625,4147.875,1506.625,84.875,471.25,491.125,182.5625,146.3125,0.97025,435910.375,100.375,100.3125,0.5524816924328723,3.208299430431245,3.0699755899104963,1068.625,6.956061838893409,1.8633034987794954
1933,4.5,153.25,76.625,76.0,76.0,686.75,5327.0625,1435.5625,246.5,60.4375,66.6875,459.3125,464.5,53.75,47.0,,,686.75,578.5625,3.8125,69.5625,10.5625,13.875,4105.125,1435.375,66.6875,459.3125,464.8125,169.75,141.125,0.972,380564.4375,100.5625,100.5,0.43861331871745685,3.0550835845437105,3.0209646478487255,1061.9375,6.984516305837215,1.6212661003014524
1934,4.5,152.875,76.4375,75.9375,75.9375,750.0,5369.625,1497.75,269.5625,55.125,84.0,491.375,526.8125,56.8125,39.375,,,750.0,645.4375,4.285625,66.3125,8.875,14.3125,4069.875,1498.0,84.0,490.625,526.8125,173.75,143.5625,0.971125,435231.9375,100.3125,100.4375,0.557265272274947,3.494932276789828,3.2598359900488343,1089.0625,7.224960840320649,1.7883073804478025
1935,4.5,153.5,76.75,76.1875,76.1875,751.625,5402.3125,1504.625,266.5625,61.6875,82.8125,489.25,500.5,55.1875,41.125,,,751.625,643.5,4.23875,68.3125,9.4375,13.0,4101.5625,1503.75,82.8125,489.375,501.0,178.875,138.0,0.970375,459082.25,100.3125,100.25,0.5451428571428572,3.29472,3.220662857142857,1093.5625,7.198765714285714,1.7547428571428572
1936,4.4375,154.75,77.375,76.75,76.75,802.875,5477.375,1553.9375,279.4375,61.1875,85.25,525.75,514.125,60.1875,40.0,,,802.875,692.1875,4.530625,67.1875,7.625,14.875,4132.3125,1553.0625,85.25,525.9375,514.5625,180.8125,148.4375,0.9703125,505163.3125,100.3125,100.375,0.5570125686283407,3.3592268251735558,3.435183084531966,1128.0625,7.370615726666364,1.8258087935024274
1937,4.5,154.875,77.4375,76.625,76.625,754.375,5372.6875,1485.5625,263.5,62.3125,89.375,527.5,562.25,63.8125,42.125,,,754.375,648.875,4.266875,69.625,8.75,13.4375,4106.8125,1485.375,89.375,527.3125,562.1875,174.0,146.375,0.9713125,558753.9375,100.25,100.125,0.5875907409943844,3.6964799342555814,3.4680180797151077,1070.375,7.0371182029858925,1.7323654293932338
1938,4.5,152.875,76.4375,75.4375,75.4375,748.0625,5313.3125,1455.8125,252.875,58.4375,92.1875,539.5,521.5,56.0,40.625,,,748.0625,643.9375,4.290625,68.125,8.125,13.125,4060.125,1455.625,92.1875,539.3125,521.375,171.4375,152.3125,0.9714375,562906.9375,99.9375,100.1875,0.6130507065669161,3.4679966749792186,3.5876974231088945,1052.3125,6.997921862011638,1.6816292601828762
1939,4.5,153.875,76.9375,76.3125,76.3125,742.25,5304.9375,1460.6875,258.6875,57.25,90.3125,530.0625,531.8125,59.8125,43.125,,,742.25,646.375,4.271875,64.1875,8.3125,15.625,4091.0625,1460.5625,90.3125,529.875,532.375,177.1875,149.5,0.970625,561111.1875,100.0625,100.1875,0.5960401484944314,3.5098308813419496,3.498281314450708,1054.4375,6.959026536504881,1.7072734772446034
1940,4.4375,154.5,77.25,76.75,76.75,723.0,5375.1875,1437.625,256.3125,58.0625,98.1875,517.25,566.0,59.5625,41.625,,,723.0,629.8125,4.12,68.4375,8.9375,14.75,4134.0,1437.6875,98.1875,516.5625,566.0,177.0625,146.0625,0.970875,613967.75,100.25,100.125,0.6412826560232221,3.6966618287373003,3.378265602322206,1025.0625,6.694892960812772,1.6740293904208998
1941,4.375,155.5,77.75,76.9375,76.9375,698.0,5365.875,1408.1875,247.375,54.1875,83.1875,555.6875,552.4375,55.125,40.375,,,698.0,599.6875,3.894375,67.8125,10.25,13.75,4161.375,1408.375,83.1875,555.6875,552.25,173.375,149.625,0.9715625,605600.1875,100.3125,100.1875,0.5397404703974047,3.5843471208434714,3.605433901054339,1023.4375,6.640308191403082,1.6050283860502839
1942,4.5,153.0,76.5,75.9375,75.9375,624.6875,5232.75,1323.5,217.3125,45.1875,66.9375,524.625,520.8125,60.0625,48.75,,,624.6875,530.9375,3.490625,70.5,11.375,12.4375,4114.875,1323.125,66.9375,524.0625,520.875,169.1875,147.6875,0.9719375,534598.0625,100.25,100.1875,0.43921443543242505,3.4173425681217533,3.442358516358334,994.0625,6.52260092955436,1.4259090494850999
