yearID,Rank,G,Ghome,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,attendance,BPF,PPF
1953,4.4375,155.0,77.5,76.8125,76.8125,714.125,5312.3125,1403.6875,224.5625,46.5625,129.75,543.0625,638.625,41.75,32.5,,,714.125,633.375,4.13875,54.0,10.5625,21.6875,4130.0625,1403.6875,129.75,543.0625,638.625,140.25,162.6875,0.9765625,898987.3125,100.3125,100.25
1954,4.5,154.625,77.3125,77.0,77.0,676.6875,5246.0,1369.25,215.9375,49.3125,121.0625,564.5625,638.4375,43.4375,32.9375,,,676.6875,598.625,3.90125,52.5,11.0,21.875,4147.875,1369.25,121.0625,564.5625,638.4375,141.875,160.125,0.9761875,995992.6875,99.875,99.9375
1955,4.5,154.25,77.125,76.9375,76.9375,691.8125,5224.375,1350.625,203.1875,43.75,139.0,565.5,676.5,43.375,33.5,,,691.8125,610.875,3.9987500000000002,46.75,11.125,22.25,4126.125,1350.625,139.0,565.5,676.5,138.625,157.3125,0.9765625,1038586.4375,100.25,100.1875
1956,4.5,154.875,77.4375,77.0,77.0,689.4375,5241.0,1353.3125,208.6875,45.3125,143.375,562.5625,719.1875,44.9375,30.9375,,,689.4375,608.4375,3.9675000000000002,47.375,8.5625,22.9375,4142.0625,1353.3125,143.375,562.5625,719.1875,140.1875,157.25,0.9764375,1033953.125,100.3125,100.375
1957,4.4375,154.375,77.1875,76.875,76.875,664.75,5306.625,1366.5625,212.25,42.0,137.625,510.9375,747.75,47.9375,34.875,,,664.75,594.6875,3.8362499999999997,44.375,9.5625,24.4375,4188.375,1366.5625,137.625,510.9375,747.75,131.125,157.0,0.9781875,1063488.6875,100.25,100.125
1958,4.4375,154.375,77.1875,76.9375,76.9375,661.125,5239.1875,1351.3125,212.0,40.9375,140.0,507.9375,764.3125,46.3125,32.25,,,661.125,591.0,3.86,46.4375,9.0625,25.25,4133.4375,1351.3125,140.0,507.9375,764.3125,130.0,162.5,0.9780625,1091289.375,99.9375,99.875
1959,4.4375,154.75,77.375,77.125,77.125,678.3125,5268.375,1352.25,217.375,36.9375,140.625,511.5,787.875,53.3125,31.625,,,678.3125,599.0625,3.908125,46.375,10.6875,23.6875,4143.0,1352.25,140.625,511.5,787.875,138.6875,147.5,0.9765625,1196498.6875,100.4375,100.375
1960,4.5,154.5,77.25,77.0,77.0,666.5,5250.875,1339.625,215.125,41.125,133.0,524.0,801.0625,57.6875,34.1875,,,666.5,588.5,3.818125,41.625,9.9375,26.875,4162.3125,1339.625,133.0,524.0,801.0625,135.0,150.25,0.9774375,1244468.0625,100.0625,99.9375
1961,5.0,158.88888888888889,79.44444444444444,79.05555555555556,79.05555555555556,719.0,5390.666666666667,1392.5555555555557,220.83333333333334,41.888888888888886,151.66666666666666,549.8333333333334,830.6666666666666,58.111111111111114,33.27777777777778,,,719.0,632.3888888888889,4.028888888888889,41.388888888888886,9.61111111111111,27.833333333333332,4241.5,1392.5555555555557,151.66666666666666,549.8333333333334,830.6666666666666,147.72222222222223,157.05555555555554,0.9756666666666667,1049695.4444444445,100.88888888888889,100.88888888888889
1962,5.5,162.1,81.05,80.9,80.9,723.05,5534.4,1426.05,215.65,42.65,150.05,546.8,878.35,67.4,35.05,,,723.05,637.1,3.9579999999999997,42.2,9.95,30.9,4349.55,1426.05,150.05,546.8,878.35,145.55,155.15,0.9765499999999999,1068760.75,99.9,99.75
1963,5.45,161.9,80.95,80.9,80.9,639.0,5490.7,1352.15,204.9,39.55,135.2,479.55,938.65,61.8,38.15,,,639.0,559.2,3.46,43.25,13.75,29.45,4365.0,1352.15,135.2,479.55,938.65,145.6,143.8,0.97665,1023853.7,100.3,100.25
1964,5.35,162.6,81.3,81.0,81.0,656.2,5523.2,1383.45,213.5,38.0,138.1,481.05,960.6,58.8,35.95,,,656.2,579.3,3.5840000000000005,39.85,13.45,33.4,4369.5,1383.45,138.1,481.05,960.6,141.75,146.25,0.97735,1064017.05,100.1,99.95
1965,5.5,162.3,81.15,80.95,80.95,647.3,5486.95,1347.6,209.95,39.35,134.4,501.8,964.15,72.45,39.3,,,647.3,567.1,3.501,36.95,12.15,33.9,4376.25,1347.6,134.4,501.8,964.15,141.85,147.1,0.9774499999999999,1122095.0,100.3,100.25
1966,5.5,161.5,80.75,80.65,80.65,645.0,5473.35,1360.35,206.0,41.0,137.15,466.55,940.25,72.75,46.3,,,645.0,567.75,3.522,36.8,12.3,33.35,4355.55,1360.35,137.15,466.55,940.25,142.8,147.25,0.9772000000000001,1259110.45,100.05,100.05
1967,5.4,162.0,81.0,80.85,80.85,610.5,5460.25,1323.2,204.1,39.6,114.95,483.25,970.65,68.65,47.0,,,610.5,535.35,3.3055,39.1,13.7,32.35,4376.7,1323.2,114.95,483.25,970.65,136.35,142.5,0.9781000000000001,1215417.65,99.95,99.9
1968,5.4,162.5,81.25,80.95,80.95,555.45,5431.1,1285.5,193.45,34.85,99.75,457.8,957.15,75.75,46.55,,,555.45,484.1,2.983,44.85,16.95,29.85,4384.05,1285.5,99.75,457.8,957.15,137.65,141.0,0.97815,1155137.25,100.35,100.2
1969,3.5,162.16666666666666,81.08333333333333,80.95833333333333,80.95833333333333,660.4166666666666,5470.291666666667,1357.5416666666667,201.66666666666666,35.375,129.95833333333334,559.5416666666666,936.375,77.08333333333333,46.583333333333336,,,660.4166666666666,582.7916666666666,3.6108333333333333,40.916666666666664,12.5,31.041666666666668,4360.125,1357.5416666666667,129.95833333333334,559.5416666666666,936.375,141.70833333333334,151.20833333333334,0.9772083333333333,1134569.4166666667,100.20833333333333,100.20833333333333
1970,3.4583333333333335,162.0,81.0,80.95833333333333,80.95833333333333,703.3333333333334,5505.833333333333,1398.125,218.125,38.625,142.875,571.9583333333334,932.25,79.5,44.916666666666664,34.375,41.25,703.3333333333334,626.125,3.8820833333333336,35.5,9.75,36.583333333333336,4357.333333333333,1398.125,142.875,571.9583333333334,932.25,138.625,153.95833333333334,0.9778333333333333,1197805.5416666667,100.20833333333333,100.04166666666667
1971,3.4166666666666665,161.5,80.75,80.70833333333333,80.70833333333333,628.0416666666666,5439.333333333333,1356.125,205.45833333333334,33.666666666666664,119.29166666666667,522.3333333333334,873.1666666666666,73.54166666666667,43.291666666666664,34.208333333333336,41.125,628.0416666666666,557.5,3.4637499999999997,45.125,13.125,28.708333333333332,4345.875,1356.125,119.29166666666667,522.3333333333334,873.1666666666666,130.20833333333334,155.70833333333334,0.9791666666666666,1216392.375,100.25,100.29166666666667
1972,3.5,154.91666666666666,77.45833333333333,77.41666666666667,77.41666666666667,571.0833333333334,5201.166666666667,1268.0833333333333,193.83333333333334,31.083333333333332,105.58333333333333,488.625,863.25,75.29166666666667,46.041666666666664,31.291666666666668,36.791666666666664,571.0833333333334,504.5416666666667,3.2587499999999996,42.041666666666664,14.875,30.541666666666668,4181.291666666667,1268.0833333333333,105.58333333333333,488.625,863.25,131.41666666666666,144.83333333333334,0.97825,1123677.8333333333,100.125,100.20833333333333
1973,3.5,161.91666666666666,80.95833333333333,80.91666666666667,80.91666666666667,682.3333333333334,5515.125,1417.0833333333333,217.66666666666666,32.916666666666664,129.25,545.8333333333334,848.25,84.75,50.541666666666664,31.458333333333332,42.041666666666664,682.3333333333334,603.625,3.7395833333333335,44.208333333333336,12.208333333333334,34.125,4359.833333333333,1417.0833333333333,129.25,545.8333333333334,848.25,143.625,159.54166666666666,0.9772083333333333,1254538.5833333333,100.33333333333333,100.375
1974,3.5,162.08333333333334,81.04166666666667,80.875,80.875,668.5833333333334,5510.666666666667,1415.375,216.91666666666666,35.291666666666664,110.375,540.125,812.2916666666666,103.66666666666667,57.625,32.25,46.0,668.5833333333334,585.1666666666666,3.6179166666666664,45.375,11.916666666666666,21.541666666666668,4367.791666666667,1415.375,110.375,540.125,812.2916666666666,149.79166666666666,157.91666666666666,0.97625,1251067.0,100.16666666666667,100.125
1975,3.4166666666666665,161.16666666666666,80.58333333333333,80.54166666666667,80.54166666666667,678.9583333333334,5478.041666666667,1410.9583333333333,226.79166666666666,36.958333333333336,112.41666666666667,558.4166666666666,803.3333333333334,105.16666666666667,57.041666666666664,31.708333333333332,45.291666666666664,678.9583333333334,594.625,3.700833333333333,43.833333333333336,11.083333333333334,27.875,4340.5,1410.9583333333333,112.41666666666667,558.4166666666666,803.3333333333334,154.58333333333334,153.79166666666666,0.9754999999999999,1241246.375,100.20833333333333,100.16666666666667
1976,3.4583333333333335,161.58333333333334,80.79166666666667,80.79166666666667,80.79166666666667,645.5,5480.208333333333,1399.9166666666667,218.33333333333334,40.25,93.125,516.2916666666666,781.0416666666666,127.25,64.33333333333333,28.5,49.291666666666664,645.5,567.5,3.5108333333333337,43.291666666666664,13.541666666666666,28.458333333333332,4365.708333333333,1399.9166666666667,93.125,516.2916666666666,781.0416666666666,144.125,151.33333333333334,0.9772916666666666,1304930.4583333333,100.25,100.20833333333333
1977,3.730769230769231,161.76923076923077,80.88461538461539,80.88461538461539,80.88461538461539,723.1923076923077,5537.5,1462.9615384615386,247.73076923076923,45.0,140.15384615384616,529.1153846153846,835.4615384615385,116.03846153846153,68.42307692307692,30.423076923076923,47.34615384615385,723.1923076923077,643.3076923076923,3.9915384615384615,34.88461538461539,9.153846153846153,32.5,4354.5,1462.9615384615386,140.15384615384616,529.1153846153846,835.4615384615385,142.69230769230768,149.3846153846154,0.9773846153846153,1488837.6538461538,100.1923076923077,100.23076923076923
1978,3.730769230769231,161.69230769230768,80.84615384615384,80.84615384615384,80.84615384615384,663.5,5444.884615384615,1404.1538461538462,237.92307692307693,39.23076923076923,113.6923076923077,521.7692307692307,771.4615384615385,115.53846153846153,62.19230769230769,29.692307692307693,49.0,663.5,589.0769230769231,3.6769230769230767,39.76923076923077,11.73076923076923,30.923076923076923,4326.538461538462,1404.1538461538462,113.6923076923077,521.7692307692307,771.4615384615385,139.15384615384616,147.53846153846155,0.9777692307692308,1562957.1538461538,100.1923076923077,100.26923076923077
1979,3.769230769230769,161.3846153846154,80.73076923076923,80.65384615384616,80.65384615384616,719.7307692307693,5492.0,1458.1153846153845,246.73076923076923,41.0,132.03846153846155,523.1153846153846,770.5769230769231,114.73076923076923,61.46153846153846,29.0,50.53846153846154,719.7307692307693,639.1153846153846,3.992692307692308,35.11538461538461,9.115384615384615,32.30769230769231,4324.423076923077,1458.1153846153845,132.03846153846155,523.1153846153846,770.5769230769231,139.65384615384616,157.73076923076923,0.9777692307692308,1675015.3076923077,100.15384615384616,100.26923076923077
1980,3.769230769230769,161.92307692307693,80.96153846153847,80.8076923076923,80.8076923076923,694.3461538461538,5544.615384615385,1467.076923076923,244.03846153846155,41.38461538461539,118.73076923076923,507.3076923076923,777.3846153846154,126.6923076923077,61.92307692307692,25.26923076923077,49.84615384615385,694.3461538461538,620.2307692307693,3.835769230769231,32.92307692307692,10.153846153846153,34.69230769230769,4368.615384615385,1467.076923076923,118.73076923076923,507.3076923076923,777.3846153846154,138.80769230769232,158.23076923076923,0.9781923076923077,1654389.8461538462,100.23076923076923,100.1923076923077
1981,3.769230769230769,107.23076923076923,53.61538461538461,53.42307692307692,53.42307692307692,428.7307692307692,3633.346153846154,929.1153846153846,153.84615384615384,25.346153846153847,68.5,341.0769230769231,509.11538461538464,77.73076923076923,42.30769230769231,17.846153846153847,31.884615384615383,428.7307692307692,383.9230769230769,3.5819230769230765,19.615384615384617,8.461538461538462,23.26923076923077,2895.576923076923,929.1153846153846,68.5,341.0769230769231,509.11538461538464,88.61538461538461,102.46153846153847,0.9790384615384615,1020937.5384615385,100.34615384615384,100.26923076923077
1982,3.730769230769231,162.07692307692307,81.03846153846153,81.0,81.0,696.5384615384615,5544.192307692308,1448.1153846153845,242.92307692307693,37.07692307692308,129.96153846153845,511.61538461538464,816.1923076923077,122.15384615384616,62.19230769230769,26.03846153846154,46.96153846153846,696.5384615384615,623.9230769230769,3.8561538461538465,28.23076923076923,9.153846153846153,35.84615384615385,4370.576923076923,1448.1153846153845,129.96153846153845,511.61538461538464,816.1923076923077,132.76923076923077,150.19230769230768,0.9788846153846154,1714918.2307692308,100.26923076923077,100.15384615384616
1983,3.730769230769231,162.23076923076923,81.11538461538461,81.0,81.0,698.8461538461538,5520.692307692308,1440.1153846153845,248.57692307692307,39.73076923076923,126.96153846153847,519.9230769230769,835.2307692307693,127.88461538461539,62.26923076923077,27.576923076923077,48.30769230769231,698.8461538461538,622.5769230769231,3.8615384615384616,28.653846153846153,9.538461538461538,37.57692307692308,4354.846153846154,1440.1153846153845,126.96153846153847,519.9230769230769,835.2307692307693,134.53846153846155,155.03846153846155,0.9785384615384616,1751551.4615384615,100.15384615384616,100.1923076923077
1984,3.6538461538461537,161.92307692307693,80.96153846153847,80.92307692307692,80.92307692307692,689.2692307692307,5531.884615384615,1437.7307692307693,238.96153846153845,37.88461538461539,125.3076923076923,512.3076923076923,865.3846153846154,116.61538461538461,58.11538461538461,25.692307692307693,49.46153846153846,689.2692307692307,613.1153846153846,3.8061538461538458,24.307692307692307,9.76923076923077,38.19230769230769,4350.538461538462,1437.7307692307693,125.3076923076923,512.3076923076923,865.3846153846154,135.65384615384616,150.30769230769232,0.9782692307692307,1720879.3461538462,100.23076923076923,100.3076923076923
1985,3.6923076923076925,161.76923076923077,80.88461538461539,80.8076923076923,80.8076923076923,700.6153846153846,5502.884615384615,1414.5384615384614,247.03846153846155,37.11538461538461,138.53846153846155,532.2307692307693,863.5,119.11538461538461,55.03846153846154,26.884615384615383,44.0,700.6153846153846,625.8076923076923,3.893076923076923,24.115384615384617,9.884615384615385,37.57692307692308,4345.2307692307695,1414.5384615384614,138.53846153846155,532.2307692307693,863.5,131.69230769230768,154.53846153846155,0.9788846153846154,1800937.6538461538,100.26923076923077,100.23076923076923
1986,3.730769230769231,161.76923076923077,80.88461538461539,80.84615384615384,80.84615384615384,713.2692307692307,5504.076923076923,1418.4615384615386,250.42307692307693,32.88461538461539,146.65384615384616,547.1923076923077,950.2307692307693,127.38461538461539,62.30769230769231,31.23076923076923,45.19230769230769,713.2692307692307,637.9615384615385,3.964230769230769,22.26923076923077,9.076923076923077,38.61538461538461,4347.038461538462,1418.4615384615386,146.65384615384616,547.1923076923077,950.2307692307693,132.69230769230768,150.1153846153846,0.9786538461538462,1827161.6538461538,100.23076923076923,100.1923076923077
1987,3.6923076923076925,161.92307692307693,80.96153846153847,80.96153846153847,80.96153846153847,764.7307692307693,5542.115384615385,1457.5,261.2692307692308,34.46153846153846,171.46153846153845,553.4230769230769,965.3461538461538,137.8846153846154,58.80769230769231,32.38461538461539,42.69230769230769,764.7307692307693,687.5769230769231,4.284230769230769,21.576923076923077,8.153846153846153,37.34615384615385,4335.538461538462,1457.5,171.46153846153845,553.4230769230769,965.3461538461538,126.84615384615384,148.84615384615384,0.9794615384615385,2000442.5384615385,100.11538461538461,100.1923076923077
1988,3.730769230769231,161.53846153846155,80.76923076923077,80.6923076923077,80.6923076923077,668.4615384615385,5483.384615384615,1394.0,245.6153846153846,32.30769230769231,122.3076923076923,499.38461538461536,898.2692307692307,126.96153846153847,54.53846153846154,35.30769230769231,48.65384615384615,668.4615384615385,599.5769230769231,3.7284615384615383,23.923076923076923,11.23076923076923,40.34615384615385,4346.2692307692305,1394.0,122.3076923076923,499.38461538461536,898.2692307692307,124.73076923076923,144.57692307692307,0.9799230769230769,2038419.3846153845,100.23076923076923,100.26923076923077
1989,3.769230769230769,162.0,81.0,80.88461538461539,80.88461538461539,669.4230769230769,5493.115384615385,1395.8846153846155,242.57692307692307,33.38461538461539,118.57692307692308,520.3076923076923,909.6153846153846,119.84615384615384,55.42307692307692,30.807692307692307,47.69230769230769,669.4230769230769,596.7692307692307,3.7057692307692305,18.576923076923077,11.23076923076923,41.11538461538461,4351.7307692307695,1395.8846153846155,118.57692307692308,520.3076923076923,909.6153846153846,128.92307692307693,144.69230769230768,0.9793076923076923,2122042.153846154,100.03846153846153,100.03846153846153
1990,3.6923076923076925,161.92307692307693,80.96153846153847,80.96153846153847,80.96153846153847,689.1923076923077,5491.076923076923,1416.0384615384614,251.0,33.26923076923077,127.57692307692308,532.7692307692307,917.4230769230769,126.53846153846153,58.07692307692308,33.11538461538461,48.5,689.1923076923077,618.4230769230769,3.855,16.5,10.0,42.80769230769231,4334.2692307692305,1416.0384615384614,127.57692307692308,532.7692307692307,917.4230769230769,122.3076923076923,145.84615384615384,0.9801923076923077,2108606.4615384615,100.23076923076923,100.34615384615384
1991,3.730769230769231,161.84615384615384,80.92307692307692,80.92307692307692,80.92307692307692,697.1923076923077,5498.7692307692305,1406.076923076923,249.96153846153845,34.38461538461539,130.1153846153846,537.8461538461538,938.0769230769231,120.0,60.26923076923077,34.80769230769231,48.03846153846154,697.1923076923077,630.3846153846154,3.9046153846153846,14.076923076923077,10.461538461538462,43.53846153846154,4358.038461538462,1406.076923076923,130.1153846153846,537.8461538461538,938.0769230769231,120.42307692307692,143.8846153846154,0.9806538461538461,2185144.6153846155,100.0,100.11538461538461
